Sex,Age,Height,Team,NOC,Games,Game Type,Year,Date,Season,City,Sport,Event,Medal,Did Medal
F,27,163,Norway,NOR,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Handball,Handball Women's Handball,Gold,1
M,21,198,Italy,ITA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze,1
M,30,194,Spain,ESP,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze,1
F,22,179,Russia,RUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver,1
M,23,182,France,FRA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Handball,Handball Men's Handball,Gold,1
M,27,182,France,FRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Handball,Handball Men's Handball,Gold,1
M,31,182,France,FRA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver,1
M,26,165,United States,USA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,1
F,21,163,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Cycling,Cycling Women's Sprint,Silver,1
M,38,190,France,FRA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Handball,Handball Men's Handball,Gold,1
M,21,184,Australia,AUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,1
F,23,191,United States,USA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Softball,Softball Women's Softball,Silver,1
F,20,175,United States,USA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver,1
F,20,160,Canada,CAN,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze,1
F,25,159,Turkey,TUR,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver,1
M,19,161,Russia,RUS,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,1
M,19,161,Russia,RUS,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver,1
M,24,161,Russia,RUS,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver,1
M,24,161,Russia,RUS,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver,1
M,24,161,Russia,RUS,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze,1
M,30,197,Australia,AUS,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,1
M,29,191,Sweden,SWE,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,1
M,25,198,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze,1
M,23,198,Spain,ESP,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze,1
F,28,188,Russia,RUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze,1
M,23,180,France,FRA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,1
M,27,180,France,FRA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,1
F,16,150,Romania,ROU,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze,1
M,24,194,France,FRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Handball,Handball Men's Handball,Gold,1
F,29,164,Great Britain,GBR,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Boxing,Boxing Women's Flyweight,Gold,1
F,33,164,Great Britain,GBR,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold,1
F,26,188,United States,USA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze,1
F,23,193,New Zealand,NZL,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold,1
F,27,193,New Zealand,NZL,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Athletics,Athletics Women's Shot Put,Gold,1
F,31,193,New Zealand,NZL,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver,1
M,29,189,Germany,GER,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold,1
F,25,187,Brazil,BRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold,1
F,19,179,Great Britain,GBR,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold,1
F,19,179,Great Britain,GBR,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold,1
F,23,179,Great Britain,GBR,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze,1
F,23,179,Great Britain,GBR,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze,1
M,19,198,United States,USA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,1
M,23,198,United States,USA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold,1
M,23,198,United States,USA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,1
M,23,198,United States,USA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,1
M,27,198,United States,USA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze,1
M,27,198,United States,USA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze,1
M,27,198,United States,USA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,1
M,27,198,United States,USA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,1
F,20,158,Russia,RUS,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver,1
M,24,187,Italy,ITA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze,1
M,27,187,Italy,ITA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver,1
F,23,164,France,FRA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver,1
M,20,202,France,FRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold,1
M,20,202,France,FRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,1
M,20,202,France,FRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,1
F,27,170,Spain,ESP,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Handball,Handball Women's Handball,Bronze,1
